iter	Passed	Remaining
974	35414	908
975	35447	871
976	35483	835
977	35524	799
978	35556	762
979	35585	726
980	35620	689
981	35656	653
982	35689	617
983	35721	580
984	35758	544
985	35798	508
986	35835	471
987	35868	435
988	35903	399
989	35937	363
990	35970	326
991	36005	290
992	36038	254
993	36073	217
994	36111	181
995	36142	145
996	36173	108
997	36210	72
998	36247	36
999	36287	0
