iter	MultiClass
633	0.09223262204
634	0.09222541699
635	0.09221830208
636	0.09217831051
637	0.09216220335
638	0.09214259391
639	0.09211577074
640	0.09210772191
641	0.09209876719
642	0.09209315487
643	0.09207772664
644	0.09206517345
645	0.09205026227
646	0.092040865
647	0.09201100515
648	0.09199464567
649	0.09198120675
650	0.0919684596
651	0.09196066112
652	0.09195501736
653	0.09194597904
654	0.0919161192
655	0.09191042097
656	0.09190091423
657	0.0918859352
658	0.09187145452
659	0.09185360131
660	0.09184132795
661	0.09180729356
662	0.09180301196
663	0.09179664078
664	0.0917771635
665	0.09176760884
666	0.09176230773
667	0.09174238398
668	0.09172652126
669	0.09171242079
670	0.09169070793
671	0.09167747364
672	0.09166961046
673	0.09165929643
674	0.09164858423
675	0.09163029109
676	0.0916174898
677	0.09159517441
678	0.0915894957
679	0.09157702103
680	0.09156459282
681	0.0915501931
682	0.0915292463
683	0.09149629626
684	0.09148860318
685	0.09147684504
686	0.09146385891
687	0.09145161217
688	0.09144268364
689	0.09142611346
690	0.0914165441
691	0.09140878226
692	0.09140435536
693	0.09138947971
694	0.09137994441
695	0.09136743894
696	0.09135676888
697	0.09133357105
698	0.09132382809
699	0.09131193397
700	0.09129886015
701	0.09128530306
702	0.09127065536
703	0.09125123835
704	0.09123000746
705	0.09121478693
706	0.09120822429
707	0.09118791546
708	0.09117963501
709	0.0911533277
710	0.09113428602
711	0.09112650779
712	0.09111002875
713	0.09110335087
714	0.09109251451
715	0.09108094653
716	0.09107073951
717	0.09105953777
718	0.0910237476
719	0.09100730089
720	0.09097506678
721	0.09095464181
722	0.09094865216
723	0.09093191602
724	0.09092495214
725	0.09091662109
726	0.09091053869
727	0.09090034499
728	0.09089169303
729	0.09087683007
730	0.09087065519
731	0.09085753719
732	0.09082887031
733	0.09074663427
734	0.09069163398
735	0.09067964225
736	0.09066677088
737	0.09065664868
738	0.09064048587
739	0.0906324846
740	0.09062419335
741	0.09061952775
742	0.09060073809
743	0.09059182378
744	0.09056934747
745	0.09055930396
746	0.09054644219
747	0.09053122549
748	0.09051392836
749	0.09049865153
750	0.09048380905
